DataBuildNum,GameTime,GameType,Map,ReplayId
45635,1130,Hero League,Blackheart's Bay,5e02b5f6c4011dcc11731d26fc60e888
47133,1590,Quick Match,Dragon Shire,d89fe7f0de5d67e7ca9b4e822e44cbca
47133,1590,Quick Match,Dragon Shire,d89fe7f0de5d67e7ca9b4e822e44cbca
47479,586,AI Coop,Dragon Shire,21b7ed1dc022ac9fa2b47ee283f3179b
45635,1245,Custom,Towers of Doom,a8e62854ec4c1262fb2a1aabc71f13a1
46889,1308,Hero League,Dragon Shire,6934f25f0ed18455f362c963b9ed3d7e
46889,827,Hero League,Braxis Holdout,079f0fdf86a9988bb3c369e3b66ba217
47133,824,Hero League,Towers of Doom,8aa384650abd5e9bcc0e110ef8fc2e21
47133,2006,Quick Match,Warhead Junction,036858cb45e035650783de89a6c6d230
46889,1087,Quick Match,Braxis Holdout,4a3ed00bba37ac4c463599afd13b97a7
46889,1175,Quick Match,Warhead Junction,4140c21c6c4e6db1113670c765831df7
46889,1302,Quick Match,Braxis Holdout,87ea544392089fc9295114506a6ad43b
46889,620,Quick Match,Battlefield of Eternity,0dbbdbdc3e1d9783738227b5686ff795
46889,1195,Quick Match,Warhead Junction,47e84f2b4b6b9e3b61645b42dcc55a8b
46889,1466,Quick Match,Dragon Shire,e063b3e1c1ff11b2b5387f2933be281b
46889,1446,Quick Match,Battlefield of Eternity,f12ec8a24e4bf12a1059ad00e1a8d72c
46889,1434,Quick Match,Braxis Holdout,0b145513ff9471bf8e262a11c68d0e2a
46889,1281,Quick Match,Dragon Shire,00a1ceb3c3840a6c33c0787d08c4ef4a
46889,1524,Quick Match,Cursed Hollow,1c1357ec40810ccce4009559a6bb3590
45635,846,Team League,Battlefield of Eternity,cdcb01d97b1537ca74bf20871ff5f1b2
47219,1146,Unranked Draft,Towers of Doom,5ec0e5fb7698d73bea1daf25d312818b
48027,1517,Hero League,Battlefield of Eternity,5338a960ad6a11a2138ed1b240a0c8c5
48027,1150,Quick Match,Tomb of the Spider Queen,3d77fd9b0d21b38ca46da453593edfac
48027,1311,Team League,Tomb of the Spider Queen,1cfa3fe9883314cb01618cbf31325c07
48027,1215,Hero League,Sky Temple,3145c5f4110937018c561e275b1235ab
47903,1837,Quick Match,Garden of Terror,4c9f6b747d73121025a056f469d14a43
47903,1192,Hero League,Braxis Holdout,0d5ba5d79f419fd2c36b880c2a72551d
47479,1235,Hero League,Dragon Shire,744f6269a4ebccd2ec5a25747f0dc3e4
47479,1433,Hero League,Tomb of the Spider Queen,867439b805764382fd6d395f885653e8
47479,792,Quick Match,Towers of Doom,c939c126e9dfabe917e806ed419ef4e2
47479,1164,Quick Match,Battlefield of Eternity,d50b212365da40de003a1cbee0aa27ea
47479,950,Quick Match,Towers of Doom,f0d0c477fe5d39c7f402858f01c3e3f5
47479,987,Hero League,Braxis Holdout,3245676c0ff390fb3e465d470bf87fa1
47479,1165,Hero League,Battlefield of Eternity,2914717b40c7bf0ccf3823e6a886d4d1
47479,959,Quick Match,Sky Temple,240d29de6a569461e0b8768e4386e5c4
48027,1519,Quick Match,Tomb of the Spider Queen,d1d02ac28326dd455f6804f376d5ac79
47479,1939,Quick Match,Cursed Hollow,c2e95e35aad180e4e467704502ad9d0f
47479,901,Quick Match,Sky Temple,bf0fb81c791418b9f983b64b0a318a43
